disp_avg,t_cent,daily_average
7.481717233115505e-10,2020-04-25 04:30:00+00:00,9.569933729391493e-10
6.364880208111311e-10,2020-04-25 05:30:00+00:00,9.561443108156867e-10
5.119568280676745e-10,2020-04-25 06:30:00+00:00,9.533151669238185e-10
5.040818865925087e-10,2020-04-25 07:30:00+00:00,9.493171190979159e-10
4.894934141486361e-10,2020-04-25 08:30:00+00:00,9.442032235718145e-10
6.727040875747627e-10,2020-04-25 09:30:00+00:00,9.388747529287473e-10
8.094347392740557e-10,2020-04-25 10:30:00+00:00,9.292412421504316e-10
9.467150573322016e-10,2020-04-25 11:30:00+00:00,9.200049470365055e-10
9.961944851474899e-10,2020-04-25 12:30:00+00:00,9.116633302543396e-10
9.85426177751581e-10,2020-04-25 13:30:00+00:00,9.035090816524871e-10
9.945523870064277e-10,2020-04-25 14:30:00+00:00,8.98003186001878e-10
1.0109048246322568e-09,2020-04-25 15:30:00+00:00,8.943921146525541e-10
1.03810876908704e-09,2020-04-25 16:30:00+00:00,8.916379146204116e-10
1.030258347273987e-09,2020-04-25 17:30:00+00:00,8.877936271653236e-10
1.1262437722222359e-09,2020-04-25 18:30:00+00:00,8.889584645790279e-10
1.0466798815883005e-09,2020-04-25 19:30:00+00:00,8.866748248413077e-10
1.0428093950855891e-09,2020-04-25 20:30:00+00:00,8.851679701381597e-10
1.00709100047142e-09,2020-04-25 21:30:00+00:00,8.814927321002379e-10
9.870855648448817e-10,2020-04-25 22:30:00+00:00,8.797311490112981e-10
9.34861225506083e-10,2020-04-25 23:30:00+00:00,8.773710460102161e-10
8.944910487353272e-10,2020-04-26 00:30:00+00:00,8.768212249138589e-10
8.332694125254567e-10,2020-04-26 01:30:00+00:00,8.740425662461396e-10
8.042978108046558e-10,2020-04-26 02:30:00+00:00,8.707430283167937e-10
7.848618702659636e-10,2020-04-26 03:30:00+00:00,8.68174238752551e-10
6.620471865155626e-10,2020-04-26 04:30:00+00:00,8.645857163860513e-10
5.457335117486756e-10,2020-04-26 05:30:00+00:00,8.608042785084488e-10
4.752050738444411e-10,2020-04-26 06:30:00+00:00,8.592729554158142e-10
4.2626182127525947e-10,2020-04-26 07:30:00+00:00,8.560304526942621e-10
4.338467921784603e-10,2020-04-26 08:30:00+00:00,8.537118434455048e-10
5.488329355859949e-10,2020-04-26 09:30:00+00:00,8.485505454459726e-10
6.836168015158786e-10,2020-04-26 10:30:00+00:00,8.433081313727152e-10
7.448461223986082e-10,2020-04-26 11:30:00+00:00,8.348969257504822e-10
8.245306725169248e-10,2020-04-26 12:30:00+00:00,8.277442668908752e-10
8.245306725169248e-10,2020-04-26 13:30:00+00:00,8.210402875060981e-10
8.471552477416099e-10,2020-04-26 14:30:00+00:00,8.148987400367306e-10
8.550425223698004e-10,2020-04-26 15:30:00+00:00,8.084044774424617e-10
9.067144715769669e-10,2020-04-26 16:30:00+00:00,8.029297150462086e-10
9.206642957443492e-10,2020-04-26 17:30:00+00:00,7.983632962324739e-10
9.347420499056477e-10,2020-04-26 18:30:00+00:00,7.90384057802616e-10
9.542411345195733e-10,2020-04-26 19:30:00+00:00,7.86532443341419e-10
9.105011122165844e-10,2020-04-26 20:30:00+00:00,7.81019598221877e-10
8.902415310131874e-10,2020-04-26 21:30:00+00:00,7.76150870327784e-10
8.980936257708259e-10,2020-04-26 22:30:00+00:00,7.724428728663649e-10
8.504036612630412e-10,2020-04-26 23:30:00+00:00,7.689238076895714e-10
8.245710786849396e-10,2020-04-27 00:30:00+00:00,7.660104756041386e-10
8.108544554252527e-10,2020-04-27 01:30:00+00:00,7.650765190582969e-10
8.003263519826335e-10,2020-04-27 02:30:00+00:00,7.649110416073794e-10
7.220980067088944e-10,2020-04-27 03:30:00+00:00,7.622958806258348e-10
